Educ,YEAR,Age_grp,w.obs,obs,lnWealth.mean,lnWealth.sd,lnNrmWealth.mean,lnNrmWealth.sd,lnPermIncome.mean,lnPermIncome.sd,BASE_YR
NoHS,2007,"(75,80]",1193187.1780123175,141,3.7983720159571135,2.620021474140769,0.9818081420171052,2.4462619875908427,2.8165638739400083,0.5337627181752459,2019
NoHS,2007,"(80,85]",1249796.2951162665,156,3.9337931619187185,2.512547972985766,0.9273560833641233,2.2120509124026775,3.0064370785545953,0.6307597100967189,2019
NoHS,2007,"(85,90]",474948.0685896782,66,4.785043404339916,2.389331526174064,1.548906661713173,2.1110456337969965,3.236136742626743,0.7227330149738955,2019
NoHS,2007,"(90,95]",125382.08023948595,13,5.801465527767374,0.3487137595846802,2.4247934248558263,0.4259963373838577,3.3766721029115474,0.6854863016886389,2019
NoHS,2010,"(15,20]",114122.92998819276,25,0.6893815432229279,1.9571669616013434,-2.4333525407315024,2.06655080601129,3.12273408395443,0.31962448041712604,2019
NoHS,2010,"(20,25]",375726.75690856634,90,1.0294896648986225,1.9991156729126336,-2.220199167328328,2.123124457110138,3.2496888322269504,0.4864588040344222,2019
NoHS,2010,"(25,30]",474055.0791284883,135,1.8745602820742664,1.1127952867450224,-1.6538368030466823,1.0734881624481898,3.528397085120949,0.44783020502854787,2019
NoHS,2010,"(30,35]",869463.1227917763,232,2.0486910787107178,2.221250940190985,-1.5583491565856593,1.9953630430966858,3.607040235296377,0.5157811760528292,2019
NoHS,2010,"(35,40]",1026166.5121816127,280,2.6199618454155718,2.2465315790170646,-0.9701747155688604,1.8412065041568386,3.590136560984432,0.887177382103057,2019
NoHS,2010,"(40,45]",948662.773022951,249,2.6442419675175275,2.1505623399680576,-0.9900009248581643,2.0347258352027944,3.6342428923756915,0.6831179599178148,2019
NoHS,2010,"(45,50]",1249131.039594657,326,2.7422218841294987,2.3652875597724594,-0.7968745615275076,2.069359271676353,3.539096445657006,0.7486202440537898,2019
NoHS,2010,"(50,55]",1105570.016819429,277,3.403825273567165,1.9200988289729382,-0.15082978910724873,1.7963757283581578,3.5546550626744136,0.6084599724805764,2019
NoHS,2010,"(55,60]",747077.0527994208,196,3.152217188905397,2.417781766273902,-0.40526178805668794,1.8869885041119696,3.557478976962085,0.9443019463099002,2019
NoHS,2010,"(60,65]",936307.833657262,215,4.172744723067945,1.6566932115284148,0.7448594183004883,1.428728726309012,3.427885304767457,0.7055350087291798,2019
NoHS,2010,"(65,70]",962731.0703923366,208,3.8285369999230765,2.283834199528493,0.37796507242241584,1.9612516088207363,3.4505719275006603,0.6577026872893343,2019
NoHS,2010,"(70,75]",712093.4485635937,141,4.8310034845301235,1.4311780246739456,1.37190555161764,1.299073019478777,3.4590979329124836,0.6578747136596529,2019
NoHS,2010,"(75,80]",1071029.936570314,164,4.260933565074754,2.1550714512844853,1.1613664773275618,1.962793909212018,3.0995670877471917,0.44743192935481507,2019
NoHS,2010,"(80,85]",931000.9420251059,148,4.435444570190178,1.695741144587437,1.2171670118565623,1.5878521806792116,3.2182775583336154,0.6609731956903937,2019
NoHS,2010,"(85,90]",235996.7030059901,41,3.585213632480816,2.4234096282929287,0.5379087987033642,1.882396416289884,3.0473048337774515,0.6055083980867317,2019
NoHS,2010,"(90,95]",189232.26281983018,30,3.564026159193614,3.074184152265489,0.5217057860814379,2.926141711015071,3.0423203731121764,0.6348772559393528,2019
NoHS,2013,"(15,20]",153202.60598898504,25,2.539502219171543,1.24325012809882,-0.3524656228152792,1.409907657185452,2.8919678419868218,0.3602720002176228,2019
NoHS,2013,"(20,25]",318112.58076259843,64,2.163937871168203,1.4019922166750136,-1.3385838379704809,1.1508385367993792,3.502521709138684,0.5091920474158612,2019
NoHS,2013,"(25,30]",755423.3955867689,161,2.062171613691562,1.2588504552006217,-1.2359951854842652,1.2495894359043918,3.2981667991758274,0.5213785970368118,2019
NoHS,2013,"(30,35]",696258.8511881772,152,2.812518075754453,2.079181454248371,-0.9072151702029161,1.819938419361667,3.719733245957369,0.6823639112170419,2019
NoHS,2013,"(35,40]",878916.2094727592,198,2.3271754771893307,2.1910291718085224,-1.2120165214119103,1.8229755013788391,3.539191998601241,0.6197677866494561,2019
NoHS,2013,"(40,45]",782617.9641149217,178,2.5604919182747334,2.442887760604256,-1.009458069212757,2.170018948158611,3.5699499874874907,0.5293419722293679,2019
NoHS,2013,"(45,50]",972716.6478471276,234,2.9610607962440407,2.247273834732335,-0.6167707077099395,1.8814979107253633,3.5778315039539805,0.8609117873154505,2019
NoHS,2013,"(50,55]",1095273.4029353615,236,3.002720472498454,2.249669027717062,-0.5601164070373281,2.051964850171032,3.5628368795357823,0.7846387177566178,2019
NoHS,2013,"(55,60]",867809.667781865,191,3.4487838849805788,2.400884111995952,0.059120032524160364,2.1570567422249365,3.3896638524564184,0.7811006788145406,2019
NoHS,2013,"(60,65]",980370.7628657355,195,3.2564020840597045,2.39209929053794,-0.1625707002525967,2.026313602036975,3.4189727843123014,0.6253808545338213,2019
NoHS,2013,"(65,70]",541988.0880223544,100,4.456471671459074,1.5647703556027592,1.176609244072793,1.4199511317708844,3.27986242738628,0.6633865586520084,2019
NoHS,2013,"(70,75]",1025460.3491376269,173,3.8123740280344047,2.4491094128466298,0.5981296599746636,2.1884296625844155,3.2142443680597412,0.6930856245041749,2019
NoHS,2013,"(75,80]",887271.0411052842,145,4.347315910438398,1.9563386972339551,1.2942367362898424,1.7947673797027346,3.053079174148555,0.5964174421859223,2019
NoHS,2013,"(80,85]",834494.9767089848,129,3.8849025477351176,2.000416862193087,0.7637397499081288,1.7537954062024277,3.121162797826989,0.560945446341563,2019
NoHS,2013,"(85,90]",572748.0317348419,95,3.9772437649566754,2.1089309535100362,1.0071674479417596,2.0111763220218486,2.970076317014916,0.5315662926265478,2019
NoHS,2013,"(90,95]",255567.16575573004,40,5.281658523430564,0.8808911709899633,2.4365955106041524,0.8167639900972594,2.8450630128264116,0.7491899361112079,2019
NoHS,2016,"(15,20]",80300.48512592616,15,0.25372757806475815,2.0450029911030274,-2.465303605389512,1.2777368483051788,2.71903118345427,0.7891505606750878,2019
NoHS,2016,"(20,25]",426102.9003091702,75,1.9572178502125177,2.08680478532058,-1.2202442092390784,1.983954587488856,3.177462059451596,0.7616606769587932,2019
NoHS,2016,"(25,30]",572019.0701611722,128,1.6380942679775723,2.1966357385329838,-1.7045727244585136,2.020046779407078,3.342666992436086,0.7549000070898982,2019
NoHS,2016,"(30,35]",1083805.9362137567,237,2.077424654250741,2.3221943126231723,-1.3591189272841762,1.9544768789537215,3.436543581534917,0.6080798703207957,2019
NoHS,2016,"(35,40]",1117228.9060454413,255,2.808887969900094,2.00401623855247,-0.7113570809072158,1.758173799757894,3.5202450508073095,0.6538283067611299,2019
NoHS,2016,"(40,45]",1253396.2247466599,282,2.63565106290804,1.8915187004253322,-0.9238666394895796,1.5697292308977422,3.5595177023976197,0.6324683557632237,2019
NoHS,2016,"(45,50]",1184721.479256723,252,3.3944301217168804,2.2910558253538227,-0.3504157807541167,1.804519793576478,3.744845902470997,0.8825353737028022,2019
NoHS,2016,"(50,55]",1587424.7574639635,354,3.1572750624531603,2.5800022220292207,-0.4014089337029431,2.3083383674344584,3.558683996156103,0.7530590882309426,2019
NoHS,2016,"(55,60]",1239330.6526274304,264,3.483869650501537,2.804331791420301,-0.2395744876995879,2.1148013742259275,3.723444138201125,0.9729149979740301,2019
NoHS,2016,"(60,65]",1337585.744633945,282,3.400921949124133,2.2585668665854572,0.13142804385193363,1.9401557803469,3.269493905272199,0.7293473161346198,2019
