time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A
11386.0	0.0024146755116880581	0.0019988173946516863	0.0030258880727258575	49.150993589076251
11387.0	0.0020886834194071557	0.0018952574278892076	0.00089685745086187652	49.069545015855915
11388.0	0.0018537116295000988	0.0011350340483811117	-0.0065484382136351549	49.191616093123571
11389.0	-0.00017515418967795071	0.0014137955502691035	0.0099008031692835452	48.978984742256145
11390.0	0.0014965837307394647	0.001008293714193309	-0.0016933162633558929	49.119965799274532
11391.0	0.0025559250087197061	0.0010383467717738348	-5.9690207062423895e-05	49.028726795912455
11392.0	-0.0001317040973998207	0.00012563376993113273	-0.0078219129290837408	49.274230452780237
11393.0	-0.0018881110374919796	-0.00074272679820297505	-0.0040145107831903726	49.510145448622282
11394.0	0.00082389843798802431	0.00062317625556462808	0.0077824109910600292	49.02750746541416
11395.0	0.00034096768684954704	4.7370336042629191e-05	0.0019599528136002853	49.292192770905409
11396.0	-0.0015445035326380196	-0.00026831459072473862	-0.0076995221305666828	49.398644547670195
11397.0	0.0017599332424476088	-0.00062597381352080816	0.0040294949971926286	49.520756757856304
11398.0	-0.0030391398244054013	-0.001065416664946417	-0.0079526072067777065	49.755914828677376
11399.0	-0.00018654146959740103	-0.0022593920096654063	-0.0068828525001241037	50.223786373852974
11400.0	-0.0030364309170247683	-0.002503589909902848	0.00071687616676818777	50.457656359840378
11401.0	-0.0032409211683099848	-0.002532750646931925	-0.0040963805900366967	50.687427337115068
11402.0	-0.0026554035993435754	-0.0013934853141781556	-7.8811110249654703e-05	50.410094327498363
11403.0	0.00099766328552375327	-0.0010789910921731316	-0.0040509821743079932	50.378686278283737
11404.0	-0.003309585242844193	-0.0015702822248526704	-0.0021986860486766791	50.600556942459335
11405.0	0.0001814081919133681	1.5344658236715603e-05	0.010636848808263766	50.099272210273121
11406.0	-0.00072529821798394956	-5.1209163059118268e-05	-0.0018480149098001331	50.212014414451602
11407.0	0.00043746439757130773	-0.00074622492707177024	-0.0040258007512969929	50.451572428371122
11408.0	0.0014113164637945541	0.00060673355453455535	0.0077939960958652854	49.958772922843515
11409.0	8.2866571011752654e-06	0.00064451405631271719	1.7921994361236315e-05	49.965564734318086
11410.0	0.00038896966944390599	0.00048803999923063834	0.0010836611908546789	49.9743411229746
11411.0	-0.0017482107059316743	-0.0009095289248013394	-0.0098478420860044213	50.454866315951321
11412.0	0.00042392170831684339	-0.0012088636768872174	0.0019951833966589394	50.562197180887928
11413.0	-0.0022009354146763638	-0.0021948112686345222	-0.012811843441065784	51.023633542568184
11414.0	-0.0027248134878878894	-0.0017166812996693981	-0.0013937919477688965	50.860139102319238
11415.0	-7.4802435935161782e-05	-0.0016411438506360732	0.001901519934639051	50.945778197115516
11416.0	-0.0027905523450448833	-0.0015513841787437865	-0.0019966984656984987	51.030105509667138
11417.0	-0.0010985127454672394	-0.0012627810272671791	-0.00016151032713418445	50.999317175662497
11418.0	-0.0024819790810139963	-0.0022605546321321501	-0.0071215992362752001	51.463825508790201
11419.0	-0.0026422890819255418	-0.002208112183321731	0.00097572568168291518	51.547200891903444
11420.0	-0.0020216078626149603	-0.0017547907066668422	-0.0080751436948613975	51.489489602443079
11421.0	-0.00095638779350704084	-0.0012440590305013988	0.0046224870220588077	51.331682626625202
11422.0	7.4652814248121757e-06	-0.00025524495134976455	0.0047470624657648397	51.051530112316847
11423.0	0.002688307765486897	0.00116521293931382	0.0097811887632057726	50.551561690517403
11424.0	0.00032675472519905213	0.0010587828261088283	-0.0029028074752888156	50.546032256651671
11425.0	-8.2729216610566425e-05	0.00068827850233410537	-0.0011197833620324449	50.534485146722858
11426.0	0.001395560661065387	0.0011061679082571274	0.005000177662612959	50.280900242950288
11427.0	-0.0004554917894792343	0.0002634459436581249	-0.0040047230479258733	50.523072170045879
11428.0	0.0011338127813707022	0.00071725335083883124	0.0048364191638312626	50.269049523713647
11429.0	0.00042553600026762339	0.00033577227739889359	-0.00093452397911053531	50.382985312283544
11430.0	0.0010393383624427432	-0.00043789504153779468	-0.0029476655636855309	50.626766862201499
11431.0	-0.0028717819762911212	-0.0017337485968726973	-0.011952849443497726	51.088839912076807
11432.0	0.00045714632133386779	-0.00032975184657968448	0.01168015204737749	50.575110162775459
11433.0	-0.0013775977271737183	-4.8893289318119315e-05	-0.00598228790952815	50.549649647723321
11434.0	0.00085539007082080509	-0.00082693532986977125	-0.00017647197629755418	50.782592671706858
11435.0	-0.0012355796235099525	-0.0006735202152114983	0.0018803703290364293	50.767723748476421
11436.0	-0.00061711982917111996	0.00016747561193652949	0.0058553631884439294	50.515709802493788
11437.0	0.0012845664759773001	0.0015140249556779839	0.0039367335836644202	50.025561624647246
11438.0	0.0013127954862781621	0.0012247015555733043	-0.0019614751213761217	50.027154560320653
11439.0	-0.00073274955076918502	-0.0004110407492836643	-0.0049749593273133996	50.5156013445879
