time_period	DeltaLogC_me	DeltaLogC	DeltaLogY	A	MrkvState
255.0	-0.008724863218268375	-0.0036750918875545491	0.0030121288132816115	62.986603874159862	0.0
256.0	-0.000489178711188476	-0.0034593369889144299	-0.0074470440254856829	63.288736778422312	0.0
257.0	-0.0048573248594807605	-0.0034510706215278297	-0.0023349262248437697	63.596279250489786	0.0
258.0	-0.006872598658792306	-0.0049217079042820355	-0.016490754179363076	64.656860293428153	0.0
259.0	0.0015857779002756978	-0.00503080298356684	-0.0063896507313536688	65.077480129774187	0.0
260.0	-0.0094223006354716698	-0.005517074720182924	-0.0064612864560789074	65.830000753622414	0.0
261.0	-0.0044587819337400525	-0.0052785963399690772	-0.0064226153796507202	66.25152279330257	0.0
262.0	-0.009786124467237034	-0.0057217639878828219	-0.01271563381582963	66.9895974306271	0.0
263.0	-0.0047140521542354819	-0.0055466165323427852	-0.0053838963024568365	67.395114636222104	0.0
264.0	-0.0036551543257419272	-0.0055967231984919152	-0.011628330944398524	67.940421833246987	0.0
265.0	-0.0064140061566162476	-0.0048049499112832184	0.0027368453282226035	68.012845392129236	0.0
266.0	-0.0020261233516860599	-0.0048815286968932892	-0.0094113535591739961	68.574568794708583	0.0
267.0	-0.0035747578177982575	-0.0031808968374018587	-0.001145209059493224	68.883329027373037	1.0
268.0	-0.0084043045523571891	-0.0054665180378670186	-0.013939119835597813	69.619753609722338	0.0
269.0	-0.0026512676251255751	-0.0049983981436168001	-0.012559455057144842	70.57837984830573	1.0
270.0	-0.0037287264479193283	-0.0032740884810880111	-0.0188321220732377	71.387051706566552	2.0
271.0	-0.0068681845280011977	-0.0064636305043470621	0.00085501589733949501	71.789201825057162	1.0
272.0	-0.010997190854313166	-0.008627298976450426	-0.017230227668987963	72.828726562633307	0.0
273.0	-0.0078882197058136594	-0.0086422241323480531	-0.011110196915207204	73.512546007155009	0.0
274.0	-0.0025883692658297264	-0.0051056001157392394	0.0048885053069411821	73.020030994535759	1.0
275.0	-0.0027342820790936528	-0.0046680862517964883	-0.0075937460017372338	73.249181839278918	1.0
276.0	-0.0093780405957941682	-0.0046028589922548768	-0.0076739743694571594	73.468431561183351	1.0
277.0	0.0013047595216122421	-0.0039594407367093964	0.00082511791349459962	73.333787911816245	1.0
278.0	-0.0076036995697672527	-0.005113964526481718	-0.011869418039689439	74.28512373811725	1.0
