time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg; pLvlErr
7.800000000000000000e+01;1.080968204523996556e-02;9.950537693418512464e-03;6.571148070760687854e-03;2.482652961354114840e+00;1.598426611884279369e-03;1.138011556979470762e-03;6.571148070760701732e-03;2.481045237169604345e+00;2.000000000000000000e+00;1.003451754831397702e+00;1.001216062185853684e+00
7.900000000000000000e+01;2.255275713610171984e-03;-7.420359569578788284e-03;-1.225867765415708521e-03;2.489417568571850925e+00;2.406998404611102038e-03;-2.778170002425320306e-03;-1.225867765415708521e-03;2.479147523415293985e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.002295391321241791e+00
8.000000000000000000e+01;5.432117517011961216e-03;6.267435932496984163e-03;-3.597792274486671937e-03;2.483499195866786913e+00;-2.186699126753705036e-04;2.289768341293685339e-04;-3.597792274486796837e-03;2.475911015488039713e+00;2.000000000000000000e+00;9.999953016405735973e-01;1.001338691562370098e+00
8.100000000000000000e+01;-4.163840690870154737e-03;8.355307588783111861e-03;1.137108965760383339e-02;2.473985424596103044e+00;-3.530749214239750633e-03;3.178256473009316574e-03;1.137108965760370849e-02;2.477316550425701092e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.993275058339493588e-01
8.200000000000000000e+01;-2.714793065460185950e-03;-8.393472988121875034e-03;-8.370921984133666838e-03;2.479155217822808677e+00;2.175131445242436956e-03;-8.680704600440153351e-04;-8.370921984133541938e-03;2.473546829281654258e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.002268834241242024e+00
8.300000000000000000e+01;-5.696133127274363717e-03;-6.241697749578237198e-03;-5.867882567583027065e-03;2.478598182396260174e+00;-1.621699979429597205e-03;-1.914067804463459588e-03;-5.867882567583027065e-03;2.464134349837936444e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.003254838802400073e+00
8.400000000000000000e+01;-1.560358531796456061e-02;-8.421451557578979452e-03;-3.611337112227525070e-03;2.495006739544887164e+00;-8.398143940981081523e-03;-4.549241829699041118e-03;-3.611337112227663848e-03;2.459374832645455200e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.007612286418847258e+00
8.500000000000000000e+01;1.251527732044727115e-02;5.273981499710811427e-03;6.039578425351327384e-03;2.487909101751157426e+00;1.865203144503779775e-03;-2.015403887152780738e-03;6.039578425351577184e-03;2.458924573797371949e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.003564798490679921e+00
8.600000000000000000e+01;-6.552350157109754214e-03;-8.089593701558581151e-03;-9.653451188630562951e-03;2.503800100033177767e+00;-3.179960350037841499e-03;-4.003768444008265481e-03;-9.653451188630812752e-03;2.458640557711773145e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.007007932565151975e+00
8.700000000000000000e+01;3.220676407382425110e-03;3.832818223696618509e-03;-4.538219557913836244e-04;2.489857840463095329e+00;-3.644276414838845679e-03;-3.316229902782616423e-03;-4.538219557911060686e-04;2.455578338307922603e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.002512311144528656e+00
8.800000000000000000e+01;-1.611770846315081773e-02;-8.428708531982243013e-03;-3.360488605968131592e-03;2.493183316268429373e+00;-7.916354151166163367e-03;-3.795822696857326095e-03;-3.360488605968298126e-03;2.445807437523287664e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.005862602883519585e+00
8.900000000000000000e+01;1.431294269124393226e-02;3.528249835121372024e-03;5.654941954187087116e-03;2.490824362672546144e+00;4.703284397510817949e-03;-1.076227442328547834e-03;5.654941954186976094e-03;2.447584812138923649e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.004053318504189773e+00
9.000000000000000000e+01;-1.053583092552451417e-02;-7.534974926982171417e-03;-8.653391612578886782e-03;2.526111033399834227e+00;-4.776355377157731619e-03;-3.168198055979842831e-03;-8.653391612579025560e-03;2.471160250399115466e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.006787217979710602e+00
9.100000000000000000e+01;-6.306315300423942505e-03;-5.240897756023876752e-03;-3.283411284392523388e-03;2.552106892470546562e+00;-5.186083903467975098e-03;-4.615127141473857053e-03;-3.283411284392523388e-03;2.486375875143247871e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.008572296622806341e+00
