time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg; pLvlErr
7.800000000000000000e+01;1.186044987874157464e-02;1.080844457233107181e-02;2.870752134657988952e-02;2.627289141059622413e+00;2.699263972478133100e-03;1.928798965666625453e-03;2.870752134658013932e-02;2.626581108901911765e+00;2.000000000000000000e+00;1.003451754831397702e+00;1.001216062185853684e+00
7.900000000000000000e+01;7.106453973385079559e-03;-4.741170513963874344e-03;2.471345391425740223e-02;2.669182069099592436e+00;8.656896151537363249e-03;-2.003734463616735351e-05;2.471345391425718019e-02;2.659323710219724912e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.002295391321241791e+00
8.000000000000000000e+01;7.179407068028942351e-04;1.740771624296102993e-03;-9.970981024597629083e-02;2.607045169529499606e+00;-5.140038195479673666e-03;-4.390939854424416589e-03;-9.970981024597637410e-02;2.600057836561540991e+00;2.000000000000000000e+00;9.999953016405735973e-01;1.001338691562370098e+00
8.100000000000000000e+01;-1.744153765343980922e-04;1.515503466758589407e-02;1.546749790123685131e-01;2.680345188250648825e+00;-1.348183849654280286e-03;9.878760311833836849e-03;1.546749790123686241e-01;2.684714961460034299e+00;3.000000000000000000e+00;9.999953016405735973e-01;9.993275058339493588e-01
8.200000000000000000e+01;-2.781223974670468668e-03;-9.734655489853562271e-03;-1.036384883229014564e-01;2.671735341524536622e+00;2.993758408155855477e-03;-2.098778318667879339e-03;-1.036384883229012760e-01;2.666512926344382084e+00;2.000000000000000000e+00;9.965529435280287007e-01;1.002268834241242024e+00
8.300000000000000000e+01;-1.369605721659773734e-02;-1.436409033168105365e-02;-1.004146740252909453e-01;2.575824314212672217e+00;-9.533886542450270563e-03;-1.002313895916967512e-02;-1.004146740252912923e-01;2.561730146350011061e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.003254838802400073e+00
8.400000000000000000e+01;-2.132223876619282477e-02;-1.252785769244538217e-02;4.289913132948341978e-02;2.543087651854498255e+00;-1.513118337711967520e-02;-8.690376631565188692e-03;4.289913132948358632e-02;2.507696186947568684e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.007612286418847258e+00
8.500000000000000000e+01;1.575445342674181015e-02;6.887629577463874608e-03;7.621227471716796043e-02;2.552546161477643683e+00;6.111164725886214510e-03;-3.826974778512598485e-04;7.621227471716790491e-02;2.523847745245185514e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.003564798490679921e+00
8.600000000000000000e+01;-1.011326412527072116e-02;-1.199558851299076245e-02;-7.982614748044714048e-02;2.520986317723390879e+00;-6.587089455715525177e-03;-7.965661468013252033e-03;-7.982614748044719599e-02;2.476195556441167511e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.007007932565151975e+00
8.700000000000000000e+01;-4.264452720811773290e-03;-3.514897145345308171e-03;-4.696429039750230072e-02;2.423825651308783691e+00;-1.132800223857050037e-02;-1.077904460685677468e-02;-4.696429039750235623e-02;2.390289423292157434e+00;1.000000000000000000e+00;1.003451754831397702e+00;1.002512311144528656e+00
8.800000000000000000e+01;-2.120255922838623630e-02;-1.178753052985583027e-02;4.314997983574284102e-02;2.388770118791070818e+00;-1.414580043521787567e-02;-7.250445339439234860e-03;4.314997983574272999e-02;2.342813149087088043e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.005862602883519585e+00
8.900000000000000000e+01;2.167969314637793743e-02;8.474049544584069671e-03;1.017669599256763868e-01;2.437723545055797469e+00;1.368849919906588164e-02;4.016983071145938111e-03;1.017669599256764978e-01;2.395569245525086988e+00;1.000000000000000000e+00;9.999953016405735973e-01;1.004053318504189773e+00
9.000000000000000000e+01;-8.870056965706696328e-03;-5.195568007538717281e-03;-3.459271329225184488e-02;2.495850494226030225e+00;-3.490400264106990891e-03;-7.992872602729517162e-04;-3.459271329225162284e-02;2.442015294178911056e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.006787217979710602e+00
9.100000000000000000e+01;1.382619686480041077e-03;2.687202447078387846e-03;6.984778177855571757e-02;2.614641685631223567e+00;2.549224153280113536e-03;3.504671202269035724e-03;6.984778177855564818e-02;2.549111401530544274e+00;0.000000000000000000e+00;9.965529435280287007e-01;1.008572296622806341e+00
