time_period; DeltaLogC_me; DeltaLogC; DeltaLogY; A; DeltaLogC_me_sticky; DeltaLogC_sticky; DeltaLogY_sticky; A_sticky; MrkvState; PermShkAgg
7.000000000000000000e+01;-8.252628710453707717e-03;-8.891454390499473059e-03;-1.328875769328682899e-02;2.493161848651041179e+00;-2.993387485901014000e-03;-3.321730815912748991e-03;-1.328875769328627388e-02;2.450377154237031174e+00;0.000000000000000000e+00;9.931106134438250077e-01
7.100000000000000000e+01;7.644752146830038897e-03;1.069879299996671917e-02;1.892593272728634868e-02;2.479321550418778664e+00;-9.871972103439596857e-04;5.825173065160116348e-04;1.892593272728604337e-02;2.455009099408374418e+00;1.000000000000000000e+00;1.006908179861754071e+00
7.200000000000000000e+01;1.145891045993670254e-02;6.021141842624117002e-03;-6.524875316780198720e-03;2.478575609623985709e+00;3.077927149634632209e-03;2.830253299178353554e-04;-6.524875316780170964e-03;2.464263442069738463e+00;2.000000000000000000e+00;9.999812066944210320e-01
7.300000000000000000e+01;1.162805031713241843e-02;1.467137634483439701e-02;1.528875430859438778e-02;2.455409415125016093e+00;4.818134412281460666e-03;6.382341728079207743e-03;1.528875430859422124e-02;2.473688044227451144e+00;3.000000000000000000e+00;1.006908179861754071e+00
7.400000000000000000e+01;1.638493174908509098e-02;6.668504595221835807e-03;7.207234456044681048e-03;2.440440095608793047e+00;1.122033378288346539e-02;6.226289011096328152e-03;7.207234456044930848e-03;2.475685921415065938e+00;4.000000000000000000e+00;9.999812066944210320e-01
7.500000000000000000e+01;-2.635263310515573165e-02;-8.408327082211355941e-03;-1.120923509476776103e-02;2.450910393934062181e+00;-7.846134143513996961e-03;1.376872035419071660e-03;-1.120923509476787205e-02;2.474505537909087671e+00;3.000000000000000000e+00;9.931106134438250077e-01
7.600000000000000000e+01;-2.647724992664093890e-03;-1.225594792247823583e-02;-6.475098186944777678e-03;2.465153819037888994e+00;2.290907411810094718e-03;-2.647522602531676705e-03;-6.475098186944749923e-03;2.467075529971126890e+00;2.000000000000000000e+00;9.931106134438250077e-01
7.700000000000000000e+01;-1.822802383912830448e-02;-1.071025907214211148e-02;-1.016850171393537949e-02;2.507539799544237447e+00;-7.071032456993878168e-03;-3.207055170325753823e-03;-1.016850171393526847e-02;2.480325660547826327e+00;1.000000000000000000e+00;9.931106134438250077e-01
7.800000000000000000e+01;1.394157225199366135e-02;1.282625678998999819e-02;1.013984402709369737e-02;2.486347973223089980e+00;1.335120602184144967e-03;7.618712725992321522e-04;1.013984402709355859e-02;2.477004143475878273e+00;2.000000000000000000e+00;1.006908179861754071e+00
7.900000000000000000e+01;5.390177874040960604e-03;-7.170442018495509773e-03;-9.989691091414065749e-04;2.492999020044583958e+00;3.649570704390231457e-03;-2.806330946638610491e-03;-9.989691091413788193e-04;2.475313689262800931e+00;1.000000000000000000e+00;9.999812066944210320e-01
