wealth_income_ratio,age_group,weight
 .3822666,1,.7975387
 .3852143,1,.8110067
 .3855404,1,1.267102
 .3862966,1,1.249154
 .3906907,1,1.574488
 .3937739,1,1.051708
 .3987828,1,1.201231
 .4012031,1,1.089194
 .4102392,1,.9179064
 .4146508,1,.8132092
 .4172613,1,.7772862
 .4208669,1  ,1.1207
 .4267226,1,1.285767
  .434356,1 ,1.12918
 .4399143,1,1.331441
  .442931,1,1.128583
 .4440908,1,1.024767
 .4531535,1,.7918516
 .4536119,1,.9744715
 .4543866,1,.7732917
 .4547812,1,1.701756
 .4560221,1,.6134914
 .4564608,1,1.004539
 .4582487,1  ,.99945
 .4584915,1,1.118299
 .4592297,1,.6922372
 .4593499,1,.7963521
 .4603871,1,1.197771
 .4604285,1,.8030785
  .460627,1,.9713429
 .4612712,1,1.462974
 .4658583,1,.8157395
 .4695468,1,1.026085
 .4703959,1,.9620211
 .4780646,1,.8312177
 .4833883,1,.9462281
 .4846942,1,.7657278
 .4851505,1,.7963521
 .4883165,1,.8215863
   .49657,1,.9437704
 .4987433,1,1.711371
 .4991302,1,1.324475
 .5016145,1,.9369407
 .5024303,1,1.057292
 .5063862,1,.9612359
 .5094654,1,1.064904
 .5100517,1,.8052363
 .5184111,1,1.030508
 .5204372,1,.8306846
   .52435,1,1.217851
  .529837,1,1.496396
  .531303,1,.8551299
 .5351753,1,.7433933
 .5424675,1,1.056503
 .5453187,1,.9941738
 .5485915,1,.9893771
 .5502669,1,.9616476
 .5543249,1,1.050038
 .5560531,1,.5977048
 .5570022,1,.9267417
 .5581044,1,.0052251
 .5625548,1,.5956262
 .5724474,1,.7562123
  .572701,1,1.389609
 .5732672,1,.8124526
 .5764384,1 ,.775229
 .5777397,1,1.113648
 .5797181,1,.9895186
 .5856321,1,1.204131
 .6070919,1,1.021921
 .6157904,1,1.330321
 .6171588,1,.8244526
 .6197613,1,1.440126
 .6197699,1,.9737195
 .6296313,1,.9688401
 .6309055,1,1.173517
 .6352948,1,1.209955
 .6354113,1,.9331916
 .6385636,1,1.237879
 .6584246,1,.7690735
 .6626557,1,1.154328
 .6641568,1,1.256434
  .678338,1,.7079421
 .6790543,1,1.339406
 .6804678,1,.9992355
 .6837328,1,.6751291
 .6898316,1,.0231348
 .6907431,1,.9794893
 .6918532,1,.8361555
 .6966942,1,1.243098
 .6980107,1,.8948447
 .6985674,1,1.005096
 .7052686,1,.7232677
 .7070231,1,.7514066
   .70776,1,.6866993
 .7134481,1,1.192426
 .7302623,1,.8141145
 .7307896,1 ,1.24372
 .7349094,1,.9456621
 .7354023,1,1.027359
 .7464164,1,1.329156
 .7575558,1,.9124312
 .7596571,1,1.454615
 .7603348,1,.7300747
 .7668041,1 ,1.00956
 .7685587,1,.8968469
 .7744148,1,1.073336
